date,pixel_id,horizon_days,fai_now,fai_future,baseline_mean,baseline_std,n_prior,anomaly_now,anomaly_future,station_id,lat,lng,precip_mm,temp_c,wind_kmh,doy_sin,doy_cos,spatial_block
2025-11-25,r0030_c1200,8,-0.00049,-0.00333,-0.0008128571428571428,0.0006883728225730173,7,0.469014946944534,-3.656656356266677,r0030_c1200,-39.20578,-72.07603,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
2025-11-25,r0030_c1215,8,-0.00117,-0.00571,-0.0009857142857142857,0.0022104664450658157,7,-0.08336960495241866,-2.1372347564158796,r0030_c1215,-39.20578,-72.0726,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
2025-11-25,r0045_c0735,8,-7e-05,-0.00411,-0.0010533333333333332,0.001180655185338491,6,0.832870888591756,-2.5889579825038656,r0045_c0735,-39.20868,-72.18219,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0750,8,-2e-05,-0.00381,-0.0010016666666666665,0.0010954344647977198,6,0.8961436746906979,-2.563670784132133,r0045_c0750,-39.20868,-72.17877,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0765,8,-7e-05,-0.00434,-0.0008716666666666667,0.0007296688746730716,6,1.098671869518696,-4.753297630911447,r0045_c0765,-39.20868,-72.17534,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0780,8,-0.00017,0.04405,-0.00045499999999999995,0.0006669857569693674,6,0.4272954812333258,66.72556277996199,r0045_c0780,-39.20868,-72.17192,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0795,8,-0.00034,0.00055,-0.00010666666666666663,0.0012443900781775247,6,-0.18750819170389274,0.5277016252238123,r0045_c0795,-39.20868,-72.16849,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0825,8,-0.00037,0.00298,0.00027666666666666665,0.0019539259624322173,6,-0.3309576100118481,1.3835392872144783,r0045_c0825,-39.20868,-72.16164,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0855,8,-0.00022,-0.00016,-6.142857142857141e-05,0.0013957605880120054,7,-0.1136093323836313,-0.07062201742766272,r0045_c0855,-39.20868,-72.15479,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0870,8,-0.00015,-0.00036,-0.00044,0.00029518355871107276,7,0.9824395412342513,0.2710178044784141,r0045_c0870,-39.20868,-72.15137,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,2
2025-11-25,r0045_c0885,8,-0.00011,-0.00159,-0.0007499999999999999,0.0004013311184877977,7,1.5946931860442286,-2.093034806683051,r0045_c0885,-39.20868,-72.14795,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
2025-11-25,r0045_c0900,8,-0.00094,0.00063,0.00025000000000000006,0.0018372588277104562,6,-0.6477040589229047,0.20682986755521324,r0045_c0900,-39.20868,-72.14452,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
2025-11-25,r0045_c1140,8,-0.00341,-0.00424,-0.0013433333333333335,0.0017839469349357527,6,-1.1584798999310455,-1.6237403758710947,r0045_c1140,-39.20868,-72.08973,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
2025-11-25,r0045_c1155,8,-0.00021,-0.00296,-0.00030833333333333326,0.0013415277360780383,6,0.07329951568561016,-1.976602194166201,r0045_c1155,-39.20868,-72.0863,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
2025-11-25,r0045_c1170,8,-0.00013,-0.00181,0.000285,0.001527766343391554,6,-0.27163839666655026,-1.3712829904010189,r0045_c1170,-39.20868,-72.08288,0.0013388694242166,18.763396199544275,2.6932564940787187,-0.5839514998576998,0.8117885474764613,3
